Resolution,InterConn_percent
1e-10,0.006274703162836342
2e-10,0.006274703162836342
3e-10,0.006274703162836342
4e-10,0.006274703162836342
5e-10,0.006274703162836342
6e-10,0.006274703162836342
7.000000000000001e-10,0.006274703162836342
8e-10,0.006274703162836342
9e-10,0.006274703162836342
1e-09,0.006274703162836342
2e-09,0.006274703162836342
3.0000000000000004e-09,0.006274703162836342
4e-09,0.007795246570677226
5e-09,0.007871193986480996
6.000000000000001e-09,0.009693931965771724
7.000000000000001e-09,0.007871193986480996
8e-09,0.007871193986480996
9.000000000000001e-09,0.05903381955445397
1e-08,0.06691656476451972
2e-08,0.07185281678823952
3.0000000000000004e-08,0.07295386429156517
4e-08,0.076188840632
5e-08,0.08400762744366157
6.000000000000001e-08,0.07603219818890625
7e-08,0.162372922548053
8e-08,0.07856062694230018
9e-08,0.18466015449252804
1e-07,0.18680772177849386
2e-07,0.1779451049887423
3e-07,0.19135174399052615
4e-07,0.13719138415123128
5e-07,0.4015259106858936
6e-07,0.33714750697734064
7e-07,0.5222919761756102
8e-07,0.4011611055899279
9e-07,0.5029537674423492
1e-06,0.3948697979988812
2e-06,0.6845399614792385
3e-06,0.7450427531810981
4e-06,0.8768254013320005
4.9999999999999996e-06,1.3912034195281773
6e-06,1.5262580380362232
7e-06,1.4107336996951523
8e-06,1.542051825931943
9e-06,1.58014221295047
1e-05,1.6735779641478086
2e-05,2.045452467431423
3.0000000000000004e-05,2.8114606836623506
4e-05,3.1935806473408794
5e-05,3.377161298330756
6.000000000000001e-05,3.750643229824005
7.000000000000001e-05,3.7393418993886414
8e-05,4.247241290815436
9e-05,4.359173589897014
0.0001,4.3325069114382195
0.0002,5.5967172561996295
0.00030000000000000003,7.808522420616022
0.0004,8.384712041840503
0.0005,9.650738659407379
0.0006000000000000001,10.714892067400655
0.0007,12.119558659137903
0.0008,11.305558294801862
0.0009000000000000001,12.780241416125904
0.001,12.715245127112901
0.002,16.249541585145504
0.003,18.736175208329772
0.004,21.23556186264215
0.005,24.260385982561957
0.006,26.853928497571022
0.007,26.744600434094483
0.008,29.295599230443525
0.009000000000000001,30.775922549365646
0.01,30.551255120405468
0.02,39.032505876158844
0.03,46.07324459309224
0.04,51.49155109892376
0.05,54.96212687718399
0.06,58.05723885504076
0.07,63.66263957985453
0.08,69.51212752766061
0.09,71.96309381833727
0.1,74.31254620581312
0.2,86.57151530288297
0.30000000000000004,90.1282562880198
0.4,91.68049598870995
0.5,91.68049598870995
0.6000000000000001,91.68049598870995
0.7000000000000001,91.68049598870995
0.8,91.68049598870995
0.9,91.68049598870995
1.0,91.68049598870995
2.0,91.68049598870995
3.0,91.68049598870995
4.0,91.68049598870995
5.0,91.68049598870995
6.0,91.68049598870995
7.0,91.68049598870995
8.0,91.68049598870995
9.0,91.68049598870995
